source,violation_code,violation_group,is_critical,count
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,V28,governance_review_record,True,51
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,V12,policy_violation,True,4
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,V5,intent_mismatch,True,3
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,V14,approval_value_execution_risk,False,2
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_critical_unsafe_allow_cases_corrected_v5_6.csv,V24,ambiguity_missing_context,False,1
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V24,ambiguity_missing_context,False,662
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V10,policy_violation,False,660
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V14,approval_value_execution_risk,False,660
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V28,governance_review_record,True,660
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V7,policy_violation,False,660
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V13,approval_value_execution_risk,True,209
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V22,ambiguity_missing_context,False,23
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V12,policy_violation,True,6
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V5,intent_mismatch,True,5
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_scored_all_models_corrected_v5_6.csv,V17,approval_value_execution_risk,True,2
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V14,approval_value_execution_risk,False,438
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V24,ambiguity_missing_context,False,53
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V28,governance_review_record,True,51
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V10,policy_violation,False,45
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V7,policy_violation,False,18
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V12,policy_violation,True,4
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V5,intent_mismatch,True,3
llm:results/llm_audit_v5_6/plansafebench_evm_llm_audit_unsafe_allow_cases_corrected_v5_6.csv,V22,ambiguity_missing_context,False,1
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V14,approval_value_execution_risk,False,220
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V7,policy_violation,False,220
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V23,ambiguity_missing_context,False,189
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V17,approval_value_execution_risk,True,115
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V28,governance_review_record,True,115
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V10,policy_violation,False,54
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V6,intent_mismatch,False,54
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V13,approval_value_execution_risk,True,51
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V9,policy_violation,True,51
processed:data/processed/v5_6/plansafebench_evm_final_scenarios_corrected_v5_6.csv,V18,contract_recipient_bridge_risk,False,31
